Irank,EnMovieID,MovieName,BoxOffice,ShowCount,AudienceCount,AvgBoxOffice,ServicePrice
299,595595,搜索,173147737.0,225054,5269490,32,
300,628324,驴得水,173052501.0,516459,5784155,29,0.0
301,385808,第七子：降魔之战,172941377.0,352553,4702882,36,
302,637662,疯狂外星人,172147364.0,244486,4894020,35,
303,317408,诸神之战,171977328.0,93888,3460497,49,
304,612538,饥饿游戏2：星火燎原,171940207.0,265435,5293031,32,
305,592438,云图,170196375.0,194661,5093016,33,0.0
306,589482,武侠,170194540.0,178322,5037058,33,
307,596448,喜羊羊与灰太狼之开心闯龙年,167618551.0,208295,5608794,29,
308,639257,危城,167373926.0,289903,4934696,33,
309,589812,最强囍事,167146796.0,141324,4990216,33,
310,626298,七月与安生,166948565.0,471601,5597888,29,
311,625158,比利·林恩的中场战事,165183391.0,378583,3794342,43,1323.0
312,615223,魔境仙踪,164218563.0,173480,4081707,40,
313,626514,我的早更女友,161807903.0,327694,5318726,30,
314,642281,神探夏洛克,161368356.0,294765,5481641,29,18.0
315,396487,一触即发,160643669.0,276608,4904527,32,
316,604052,诸神之怒,160297730.0,164161,3906446,41,
317,812,功夫,160000000.0,202,5713,28006,
318,1037,南京！南京！,159810354.0,138363,5403769,29,
319,617719,极乐空间,159761605.0,281394,4699230,33,
320,638821,怦然星动,159739433.0,366677,5142188,31,0.0
321,595608,消失的子弹,159491856.0,194603,5016447,31,0.0
322,372499,波斯王子：时之刃,159072177.0,141447,4909266,32,
323,625045,小王子,158458051.0,240930,4787033,33,
324,658099,美女与野兽,158055133.0,201006,4208014,38,5038786.0
325,587699,关云长,157410115.0,178088,4656768,33,
326,572814,大兵小将,157287354.0,120849,4867814,32,
327,594617,大海啸之鲨口逃生,157092190.0,236410,4102047,38,
328,627597,夏有乔木雅望天堂,156407122.0,331444,5070168,30,
329,627643,冲上云霄,156313406.0,165558,4270394,36,16.0
330,608149,特殊身份,155267006.0,312658,4919836,31,
331,339973,哈利·波特与混血王子,155241323.0,108686,4947139,31,
332,1320,十面埋伏,153602420.0,29,1252,122685,
333,612627,快乐到家,153599418.0,242882,5239102,29,
334,350723,功夫熊猫,152384637.0,158031,5659686,26,
335,618531,功夫熊猫：师傅的秘密,152380089.0,158016,5659572,26,
336,659054,刺客信条,151908014.0,420915,4488478,35,9037303.0
337,588499,大笑江湖,151540854.0,150530,4783217,31,
338,344562,冰川时代3,150748034.0,56091,3396564,44,
339,621389,移动迷宫,150650001.0,286502,4795510,31,
340,589472,画壁,150648127.0,181172,4622737,32,
341,595191,黄金大劫案,150313290.0,199360,4612565,32,0.0
342,385553,蜘蛛侠3,149830969.0,395,7687,19491,
343,611209,大上海,149756379.0,189827,4426331,33,
344,616427,被偷走的那五年,149263534.0,263137,4738249,31,86.0
345,628394,谜城,148859592.0,235254,4750345,31,36.0
346,615765,遗落战境,148500489.0,225512,4473081,33,
347,629090,万物生长,148317998.0,257154,4396770,33,
348,590269,太极1：从零开始,147319325.0,221693,3658723,40,
349,595606,毒战,146958388.0,223825,4581795,32,
350,442,功夫之王,145637151.0,149403,4624511,31,
351,627886,破风,145290834.0,284667,4461833,32,
352,339974,哈利·波特与凤凰社,145269324.0,124,4593,31628,
353,573967,山楂树之恋,144968774.0,152308,4392827,33,
354,612540,饥饿游戏3：嘲笑鸟（下）,143504240.0,254698,4177553,34,
355,644930,圆梦巨人,143249071.0,413731,4359614,32,0.0
356,616744,惊天魔盗团,142998985.0,255131,4523471,31,
357,609017,冰封：重生之门,142694785.0,257611,3890415,36,
358,573959,精武风云·陈真,142429978.0,132406,4407236,32,
359,588879,白鹿原,141994228.0,163772,3643444,38,
360,572852,锦衣卫,141852390.0,112612,4355116,32,
361,588488,倩女幽魂,140930655.0,186272,4153945,33,
362,590369,里约大冒险,139810468.0,128769,3563874,39,
363,589662,鸿门宴传奇,139721557.0,182648,4287623,32,
364,589926,喜羊羊与灰太狼之兔年顶呱呱,139250415.0,148609,4528445,30,
365,328433,安德的游戏,138756881.0,257611,4295220,32,
366,338202,青蜂侠,138177081.0,111642,3318393,41,
367,614862,蓝精灵2,137745574.0,215963,3807570,36,24.0
368,1247,色·戒,137731019.0,1,0,0,
369,611580,非常幸运,137078619.0,244812,4215590,32,
370,596052,爱,136729691.0,138789,3852746,35,
371,590250,致命伴旅,135945537.0,140398,4051525,33,
372,631288,追凶者也,135896603.0,395292,4128601,32,
373,417248,生化危机4：战神再生,135554876.0,128578,3355807,40,
374,613823,20123D,135150931.0,171526,3622409,37,
375,634059,但丁密码,134330659.0,393350,4399049,30,
376,607363,王朝的女人·杨贵妃,133939437.0,250606,4233062,31,
377,612121,逃出生天,133080203.0,198685,3645485,36,
378,392721,丁丁历险记,132600000.0,116666,3601084,36,
379,592135,铁甲钢拳,131286253.0,143247,3932492,33,
380,573086,越光宝盒,130640236.0,131761,4087782,31,
381,1771,夜宴,130009621.0,170,4772,27244,
382,628676,高跟鞋先生,129963687.0,222014,4598794,28,
383,617157,前任攻略,129701364.0,192242,3992677,32,
384,566084,环形使者,129482365.0,183691,3928345,32,
385,573873,全城热恋,129435061.0,100213,3812428,33,
386,590512,逆战,129402708.0,132583,3908806,33,
387,640662,28岁未成年,129367174.0,368737,4732289,27,3911.0
388,631012,玩命速递：重启之战,128487209.0,263643,3925423,32,0.0
389,637810,睡在我上铺的兄弟,127823156.0,370837,4442273,28,
390,334963,特种部队：眼镜蛇的崛起,126916106.0,107976,4166533,30,
391,573888,枪王之王,126581270.0,114084,4010534,31,
392,370429,加勒比海盗3：世界的尽头,126137760.0,324,8840,14268,
393,626109,超验骇客,125865492.0,232427,3239707,38,
394,640866,极限挑战之皇家宝藏,125514122.0,277580,4048886,30,
395,613467,喜羊羊与灰太狼之喜气羊羊过蛇年,124937369.0,209428,4182098,29,
396,572815,杜拉拉升职记,124411547.0,126190,3939791,31,
397,573891,喜羊羊与灰太狼之虎虎生威,124383034.0,104251,4257039,29,
398,408836,纳尼亚传奇3,122534973.0,109292,3097406,39,
399,617156,罗曼蒂克消亡史,122505638.0,338226,3895537,31,465089.0
400,643740,分歧者3：忠诚世界,122082310.0,433321,4307178,28,0.0
401,625416,天才眼镜狗,121610713.0,210971,3513530,34,
402,373864,007：大破量子危机,120750607.0,132611,3904303,30,
403,1437,天下无贼,120004685.0,163,3638,32986,
404,628995,十万个冷笑话,119838578.0,212371,3784475,31,93.0
405,612885,天台爱情,119831082.0,192189,3718039,32,
406,640998,精灵旅社2,119672786.0,252374,3531554,33,0.0
407,658620,大卫贝肯之倒霉特工熊,119098579.0,383775,3846899,32,7285253.0
408,629873,狂怒,119021902.0,225011,3724146,31,
409,592262,战马,118954602.0,156842,3585742,33,
410,616526,一个人的武林,118915496.0,263000,3310590,35,
411,393712,创战纪,118554566.0,100692,2679647,44,
412,631840,明日世界,118454676.0,347571,3540725,33,
413,610215,太极2：英雄崛起,118437757.0,209152,2934401,40,
414,643913,佩小姐的奇幻城堡,118398605.0,281746,3684114,32,5395.0
415,620732,我的个神啊,118182222.0,266912,3876104,30,0.0
416,614568,激战,117890966.0,168498,3738163,31,0.0
417,393699,玩具总动员3,117635477.0,92514,2565162,45,
418,1309,生死抉择,116589902.0,26,2418,48217,
419,628143,爸爸的假期,116256474.0,105009,3044247,38,72.0
420,566512,全面回忆,116240109.0,211265,3625933,32,
421,591734,关键第四号,115991126.0,148942,3546964,32,
422,602848,飓风营救2,115631189.0,212937,3618070,31,
423,644689,惊天破,114320752.0,385849,3503891,32,0.0
424,643191,决战食神,113882721.0,270573,3702367,32,8142329.0
425,364344,博物馆奇妙夜2,113155721.0,125760,3859489,29,
426,617573,极速蜗牛,112953460.0,169971,3154979,35,0.0
427,592255,大明猩,112815691.0,159724,3065339,36,
428,644631,九条命,112042751.0,319838,3957004,28,
